date,CN_IP
1999-01,117.9
1999-02,102.1
1999-03,109.0
1999-04,109.1
1999-05,108.9
1999-06,109.1
1999-07,109.3
1999-08,109.5
1999-09,108.2
1999-10,107.0
1999-11,107.6
1999-12,107.4
2000-01,108.9
2000-02,112.0
2000-03,111.9
2000-04,111.4
2000-05,111.5
2000-06,112.2
2000-07,112.8
2000-08,112.8
2000-09,112.0
2000-10,111.4
2000-11,110.6
2000-12,110.4
2001-01,102.3
2001-02,119.0
2001-03,112.1
2001-04,111.5
2001-05,110.2
2001-06,110.1
2001-07,108.1
2001-08,108.1
2001-09,109.5
2001-10,108.8
2001-11,107.9
2001-12,108.7
2002-01,118.6
2002-02,102.7
2002-03,110.9
2002-04,112.1
2002-05,112.9
2002-06,112.4
2002-07,112.8
2002-08,112.7
2002-09,113.8
2002-10,114.2
2002-11,114.5
2002-12,114.9
2003-01,114.8
2003-02,119.8
2003-03,116.9
2003-04,114.9
2003-05,113.7
2003-06,116.9
2003-07,116.5
2003-08,117.1
2003-09,116.3
2003-10,117.2
2003-11,117.9
2003-12,118.1
2004-01,107.2
2004-02,123.2
2004-03,119.4
2004-04,119.1
2004-05,117.5
2004-06,116.2
2004-07,115.5
2004-08,115.9
2004-09,116.1
2004-10,115.7
2004-11,114.8
2004-12,114.4
2005-01,120.9
2005-02,107.6
2005-03,115.1
2005-04,116.0
2005-05,116.6
2005-06,116.8
2005-07,116.1
2005-08,116.0
2005-09,116.5
2005-10,116.1
2005-11,116.6
2005-12,116.5
2006-01,
2006-02,120.1
2006-03,117.8
2006-04,116.6
2006-05,117.9
2006-06,119.5
2006-07,116.7
2006-08,115.7
2006-09,116.1
2006-10,114.7
2006-11,114.9
2006-12,114.7
2007-01,
2007-02,112.6
2007-03,117.6
2007-04,117.4
2007-05,118.1
2007-06,119.4
2007-07,118.0
2007-08,117.5
2007-09,118.9
2007-10,117.9
2007-11,117.3
2007-12,117.4
2008-01,
2008-02,115.4
2008-03,117.8
2008-04,115.7
2008-05,116.0
2008-06,116.0
2008-07,114.7
2008-08,112.8
2008-09,111.4
2008-10,108.2
2008-11,105.4
2008-12,105.7
2009-01,111.0
2009-02,111.0
2009-03,108.3
2009-04,107.3
2009-05,108.9
2009-06,110.7
2009-07,110.8
2009-08,112.3
2009-09,113.9
2009-10,116.1
2009-11,119.2
2009-12,118.5
2010-01,112.8
2010-02,112.8
2010-03,118.1
2010-04,117.8
2010-05,116.5
2010-06,113.7
2010-07,113.4
2010-08,113.9
2010-09,113.3
2010-10,113.1
2010-11,113.3
2010-12,113.5
2011-01,114.9
2011-02,114.9
2011-03,114.8
2011-04,113.4
2011-05,113.3
2011-06,115.1
2011-07,114.0
2011-08,113.5
2011-09,113.8
2011-10,113.2
2011-11,112.4
2011-12,112.8
2012-01,111.4
2012-02,111.4
2012-03,111.9
2012-04,109.3
2012-05,109.6
2012-06,109.5
2012-07,109.2
2012-08,108.9
2012-09,109.2
2012-10,109.6
2012-11,110.1
2012-12,110.3
2013-01,
2013-02,109.9
2013-03,108.9
2013-04,109.3
2013-05,109.2
2013-06,108.9
2013-07,109.7
2013-08,110.4
2013-09,110.2
2013-10,110.3
2013-11,110.0
2013-12,109.7
2014-01,
2014-02,108.6
2014-03,108.8
2014-04,108.7
2014-05,108.8
2014-06,109.2
2014-07,109.0
2014-08,106.9
2014-09,108.0
2014-10,107.7
2014-11,107.2
2014-12,107.9
2015-01,
2015-02,106.8
2015-03,105.6
2015-04,105.9
2015-05,106.1
2015-06,106.8
2015-07,106.0
2015-08,106.1
2015-09,105.7
2015-10,105.6
2015-11,106.2
2015-12,105.9
2016-01,
2016-02,105.4
2016-03,106.8
2016-04,106.0
2016-05,106.0
2016-06,106.2
2016-07,106.0
2016-08,106.3
2016-09,106.1
2016-10,106.1
2016-11,106.2
2016-12,106.0
2017-01,
2017-02,106.3
2017-03,107.6
2017-04,106.5
2017-05,106.5
2017-06,107.6
2017-07,106.4
2017-08,106.0
2017-09,106.6
2017-10,106.2
2017-11,106.1
2017-12,106.2
2018-01,
2018-02,107.2
2018-03,106.0
2018-04,107.0
2018-05,106.8
2018-06,106.0
2018-07,106.0
2018-08,106.1
2018-09,105.8
2018-10,105.9
2018-11,105.4
2018-12,105.7
2019-01,
2019-02,105.3
2019-03,108.5
2019-04,105.4
2019-05,105.0
2019-06,106.3
2019-07,104.8
2019-08,104.4
2019-09,105.8
2019-10,104.7
2019-11,106.2
2019-12,106.9
2020-01,
2020-02,86.5
2020-03,98.9
2020-04,103.9
2020-05,104.4
2020-06,104.8
2020-07,104.8
2020-08,105.6
2020-09,106.9
2020-10,106.9
2020-11,107.0
2020-12,107.3
2021-01,
2021-02,
2021-03,114.1
2021-04,109.8
2021-05,108.8
2021-06,108.3
2021-07,106.4
2021-08,105.3
2021-09,103.1
2021-10,103.5
2021-11,103.8
2021-12,104.3
2022-01,
2022-02,
2022-03,105.0
2022-04,97.1
2022-05,100.7
2022-06,103.9
2022-07,103.8
2022-08,104.2
2022-09,106.3
2022-10,105.0
2022-11,102.2
2022-12,101.3
2023-01,
2023-02,
2023-03,103.9
2023-04,105.6
2023-05,103.5
2023-06,104.4
2023-07,103.7
2023-08,104.5
2023-09,104.5
2023-10,104.6
2023-11,106.6
