구분,선박용경유,벙커C
2007-06-01,495.8,398.07
2007-07-01,498.36,409.52
2007-08-01,509.74,421.02
2007-09-01,506.62,426.32
2007-10-01,535.33,440.64
2007-11-01,559.97,471.69
2007-12-01,614.2,515.92
2008-01-01,635.88,518.37
2008-02-01,653.44,516.21
2008-03-01,651.0,532.39
2008-04-01,782.12,584.55
2008-05-01,875.11,639.6
2008-06-01,997.89,722.88
2008-07-01,1116.45,788.27
2008-08-01,1040.17,812.17
2008-09-01,924.34,796.62
2008-10-01,878.33,736.14
2008-11-01,768.37,600.09
2008-12-01,644.74,480.98
2009-01-01,582.68,419.46
2009-02-01,526.64,433.33
2009-03-01,483.62,449.46
2009-04-01,509.66,462.31
2009-05-01,539.34,493.53
2009-06-01,531.33,543.63
2009-07-01,643.89,597.56
2009-08-01,621.44,613.42
2009-09-01,646.61,627.95
2009-10-01,633.94,605.31
2009-11-01,609.03,590.06
2009-12-01,662.53,616.78
2010-01-01,639.71,608.9
2010-02-01,661.91,627.81
2010-03-01,635.04,614.52
2010-04-01,672.69,621.93
2010-05-01,699.86,626.03
2010-06-01,694.68,627.39
2010-07-01,688.84,611.53
2010-08-01,694.02,642.93
2010-09-01,691.98,625.73
2010-10-01,688.63,625.96
2010-11-01,700.07,642.88
2010-12-01,724.0,659.89
2011-01-01,785.43,677.69
2011-02-01,818.2,721.37
2011-03-01,866.99,771.8
2011-04-01,974.62,865.7
2011-05-01,963.52,893.83
2011-06-01,930.39,855.19
2011-07-01,915.99,862.63
2011-08-01,898.05,871.55
2011-09-01,883.01,871.04
2011-10-01,907.13,894.74
2011-11-01,935.2,920.9
2011-12-01,971.21,942.14
2012-01-01,966.32,963.7
2012-02-01,998.32,994.35
2012-03-01,1002.98,1008.51
2012-04-01,1045.84,1024.17
2012-05-01,1018.84,980.39
2012-06-01,961.1,907.36
2012-07-01,886.09,906.26
2012-08-01,897.4,930.93
2012-09-01,973.5,934.06
2012-10-01,995.61,902.08
2012-11-01,954.44,848.54
2012-12-01,912.39,812.49
2013-01-01,912.97,808.1
2013-02-01,904.69,829.74
2013-03-01,966.09,855.87
2013-04-01,932.14,844.81
2013-05-01,882.3,829.53
2013-06-01,861.79,833.58
2013-07-01,897.41,818.57
2013-08-01,931.11,809.93
2013-09-01,918.05,807.17
2013-10-01,907.44,797.72
2013-11-01,880.38,777.26
2013-12-01,874.67,780.47
2014-01-01,891.91,796.46
2014-02-01,871.45,803.14
2014-03-01,887.49,810.85
2014-04-01,874.12,796.42
2014-05-01,863.7,790.74
2014-06-01,842.49,787.73
2014-07-01,831.16,780.32
2014-08-01,814.57,763.16
2014-09-01,802.59,762.4
2014-10-01,775.88,731.9
2014-11-01,729.4,674.67
2014-12-01,697.08,611.88
2015-01-01,603.56,518.17
2015-02-01,492.63,480.46
2015-03-01,506.41,516.92
2015-04-01,542.95,518.61
2015-05-01,535.54,527.43
2015-06-01,564.85,530.34
2015-07-01,567.1,521.08
2015-08-01,508.13,485.12
2015-09-01,461.06,448.54
2015-10-01,472.24,430.14
2015-11-01,467.36,388.22
2015-12-01,446.05,376.63
2016-01-01,380.05,313.0
2016-02-01,312.95,317.4
2016-03-01,327.22,351.61
2016-04-01,381.14,343.93
2016-05-01,382.57,374.19
2016-06-01,437.31,408.83
2016-07-01,468.24,409.15
2016-08-01,434.38,379.92
2016-09-01,408.9,376.73
2016-10-01,421.46,422.79
2016-11-01,467.21,434.77
2016-12-01,459.99,481.16
2017-01-01,504.91,527.02
2017-02-01,537.37,494.89
2017-03-01,527.7,504.89
2017-04-01,500.27,495.49
2017-05-01,500.31,481.77
2017-06-01,498.96,487.02
2017-07-01,457.83,437.97
2017-08-01,466.14,464.38
2017-09-01,503.39,497.52
2017-10-01,517.65,507.98
2017-11-01,531.48,520.28
2017-12-01,549.79,504.1
2018-01-01,552.14,502.99
2018-02-01,578.81,528.7
2018-03-01,572.1,490.53
2018-04-01,562.27,544.24
2018-05-01,598.55,580.83
2018-06-01,641.6,613.74
2018-07-01,637.41,624.75
2018-08-01,648.14,633.8
2018-09-01,663.08,634.21
2018-10-01,695.51,673.14
2018-11-01,725.92,641.03
2018-12-01,646.55,625.5
2019-01-01,543.85,560.25
2019-02-01,544.13,560.21
2019-03-01,587.76,590.4
2019-04-01,616.2,624.17
2019-05-01,636.99,628.92
2019-06-01,652.54,641.42
2019-07-01,601.67,645.76
2019-08-01,618.82,651.5
2019-09-01,613.21,564.27
2019-10-01,623.04,625.59
2019-11-01,613.82,571.32
2019-12-01,596.41,563.53
2020-01-01,628.89,626.29
2020-02-01,614.09,652.07
2020-03-01,540.71,528.26
2020-04-01,403.41,412.58
2020-05-01,294.78,332.32
2020-06-01,305.37,356.17
2020-07-01,391.82,412.08
2020-08-01,428.37,438.79
2020-09-01,413.55,437.74
2020-10-01,380.01,414.9
2020-11-01,366.68,403.57
2020-12-01,371.67,415.41
2021-01-01,425.9,448.62
2021-02-01,463.49,506.7
2021-03-01,521.21,568.87
2021-04-01,551.48,604.64
2021-05-01,530.62,568.02
2021-06-01,566.36,575.64
2021-07-01,601.7,605.76
2021-08-01,616.93,621.88
2021-09-01,603.8,646.52
2021-10-01,639.81,679.36
2021-11-01,749.62,728.45
2021-12-01,734.86,716.06
2022-01-01,676.37,711.52
2022-02-01,799.38,802.23
2022-03-01,890.87,875.49
2022-04-01,1137.5,976.0
2022-05-01,1185.08,1042.22
2022-06-01,1275.54,1120.08
2022-07-01,1444.77,1101.42
2022-08-01,1287.6,773.15
2022-09-01,1195.32,951.13
2022-10-01,1216.98,916.82
2022-11-01,1249.79,974.06
2022-12-01,1181.46,801.94
2023-01-01,980.29,759.75
2023-02-01,963.85,761.27
2023-03-01,912.97,774.5
2023-04-01,899.53,759.7
2023-05-01,871.06,769.42
2023-06-01,795.67,748.15
2023-07-01,795.2,742.29
2023-08-01,847.98,769.38
2023-09-01,1021.72,850.28
2023-10-01,1095.08,865.4
2023-11-01,1060.62,878.35
2023-12-01,947.1,809.79
2024-01-01,868.62,768.53
2024-02-01,885.07,813.19
2024-03-01,951.13,830.17
2024-04-01,916.6,830.72
2024-05-01,949.7,858.52
2024-06-01,888.03,830.63
2024-07-01,887.96,824.41
2024-08-01,917.73,857.92
2024-09-01,842.85,785.26
2024-10-01,759.73,797.45
2024-11-01,789.55,829.85
2024-12-01,824.58,837.36
2025-01-01,839.17,813.47
2025-02-01,921.2,846.28
2025-03-01,887.55,846.83
2025-04-01,832.68,815.53
2025-05-01,793.85,781.68
2025-06-01,745.99,779.92
2025-07-01,776.26,752.37
2025-08-01,821.68,764.1
2025-09-01,802.12,748.66
2025-10-01,817.25,717.12
2025-11-01,826.39,708.42
2025-12-01,904.84,698.51
2026-01-01,813.43,678.23
