날짜,종가
2026-03-01,176.23
2026-02-01,89.93
2026-01-01,82.4
2025-12-01,82.37
2025-11-01,93.6
2025-10-01,88.89
2025-09-01,89.08
2025-08-01,86.37
2025-07-01,90.89
2025-06-01,87.03
2025-05-01,79.36
2025-04-01,81.77
2025-03-01,89.17
2025-02-01,91.71
2025-01-01,95.41
2024-12-01,88.91
2024-11-01,89.23
2024-10-01,87.92
2024-09-01,84.33
2024-08-01,92.21
2024-07-01,99.3
2024-06-01,98.08
2024-05-01,97.32
2024-04-01,104.71
2024-03-01,103.86
2024-02-01,106.52
2024-01-01,102.83
2023-12-01,99.78
2023-11-01,106.54
2023-10-01,117.55
2023-09-01,125.41
2023-08-01,119.36
2023-07-01,101.76
2023-06-01,92.23
2023-05-01,89.15
2023-04-01,98.68
2023-03-01,102.82
2023-02-01,107.69
2023-01-01,116.13
2022-12-01,113.94
2022-11-01,127.81
2022-10-01,137.24
2022-09-01,129.1
2022-08-01,139.66
2022-07-01,145.32
2022-06-01,176.8
2022-05-01,153.44
2022-04-01,148.8
2022-03-01,141.71
2022-02-01,110.75
2022-01-01,99.14
2021-12-01,85.85
2021-11-01,91.54
2021-10-01,95.5
2021-09-01,82.92
2021-08-01,76.52
2021-07-01,79.86
2021-06-01,78.82
2021-05-01,73.82
2021-04-01,68.84
2021-03-01,69.68
2021-02-01,67.89
2021-01-01,59.92
2020-12-01,55.41
2020-11-01,47.54
2020-10-01,43.92
2020-09-01,44.17
2020-08-01,49.43
2020-07-01,48.81
2020-06-01,46.6
2020-05-01,36.05
2020-04-01,31.42
2020-03-01,45.47
2020-02-01,65.97
2020-01-01,76.5
2019-12-01,79.21
2019-11-01,76.02
2019-10-01,77.11
2019-09-01,78.05
2019-08-01,75.37
2019-07-01,78.79
2019-06-01,75.13
2019-05-01,82.72
2019-04-01,83.29
2019-03-01,81.02
2019-02-01,78.87
2019-01-01,72.6
2018-12-01,70.01
2018-11-01,82.29
2018-10-01,97.25
2018-09-01,93.8
2018-08-01,88.51
2018-07-01,86.89
2018-06-01,87.4
2018-05-01,90.53
2018-04-01,84.28
2018-03-01,78.38
2018-02-01,78.06
2018-01-01,81.84
2017-12-01,75.31
2017-11-01,73.15
2017-10-01,68.61
2017-09-01,68.48
2017-08-01,63.5
2017-07-01,61.05
2017-06-01,57.55
2017-05-01,61.19
2017-04-01,64.69
2017-03-01,62.94
2017-02-01,66.76
2017-01-01,65.14
2016-12-01,62.92
2016-11-01,56.87
2016-10-01,61.23
2016-09-01,54.59
2016-08-01,53.47
2016-07-01,54.28
2016-06-01,58.14
2016-05-01,54.85
2016-04-01,48.08
2016-03-01,45.52
2016-02-01,38.46
2016-01-01,36.15
2015-12-01,46.85
2015-11-01,57.46
2015-10-01,59.13
2015-09-01,59.48
2015-08-01,57.12
2015-07-01,65.16
2015-06-01,74.73
2015-05-01,78.02
2015-04-01,72.37
2015-03-01,70.75
2015-02-01,71.14
