date,China_PMI
2012-11,51.5
2012-12,52.3
2013-01,50.4
2013-02,51.6
2013-03,50.4
2013-04,49.2
2013-05,48.2
2013-06,47.7
2013-07,50.1
2013-08,50.2
2013-09,50.9
2013-10,50.8
2013-11,50.5
2013-12,49.5
2014-01,48.5
2014-02,48.0
2014-03,48.1
2014-04,49.4
2014-05,50.7
2014-06,51.7
2014-07,50.2
2014-08,50.2
2014-09,50.4
2014-10,50.0
2014-11,49.5
2014-12,49.7
2015-01,50.7
2015-02,49.6
2015-03,48.9
2015-04,49.2
2015-05,49.4
2015-06,47.8
2015-07,47.3
2015-08,47.2
2015-09,48.3
2015-10,48.6
2015-11,48.2
2015-12,48.4
2016-01,48.0
2016-02,49.7
2016-03,49.4
2016-04,49.2
2016-05,48.6
2016-06,50.6
2016-07,50.0
2016-08,50.1
2016-09,51.2
2016-10,50.9
2016-11,51.9
2016-12,51.0
2017-01,51.7
2017-02,51.2
2017-03,50.3
2017-04,49.6
2017-05,50.4
2017-06,51.1
2017-07,51.6
2017-08,51.0
2017-09,51.0
2017-10,50.8
2017-11,51.5
2017-12,51.5
2018-01,51.6
2018-02,51.0
2018-03,51.1
2018-04,51.1
2018-05,51.0
2018-06,50.8
2018-07,50.6
2018-08,50.0
2018-09,50.1
2018-10,50.2
2018-11,49.7
2018-12,48.3
2019-01,49.9
2019-02,50.8
2019-03,50.2
2019-04,50.2
2019-05,49.4
2019-06,49.9
2019-07,50.4
2019-08,51.4
2019-09,51.7
2019-10,51.8
2019-11,51.5
2019-12,51.1
2020-01,40.3
2020-02,50.1
2020-03,49.4
2020-04,50.7
2020-05,51.2
2020-06,52.8
2020-07,53.1
2020-08,53.0
2020-09,53.6
2020-10,54.9
2020-11,53.0
2020-12,51.5
2021-01,50.9
2021-02,50.6
2021-03,51.9
2021-04,52.0
2021-05,51.3
2021-06,50.3
2021-07,49.2
2021-08,50.0
2021-09,50.6
2021-10,49.9
2021-11,50.9
2021-12,49.1
2022-01,50.4
2022-02,48.1
2022-03,46.0
2022-04,48.1
2022-05,51.7
2022-06,50.4
2022-07,49.5
2022-08,48.1
2022-09,49.2
2022-10,49.4
2022-11,49.0
2022-12,49.2
2023-01,51.6
2023-02,50.0
2023-03,49.5
2023-04,50.9
2023-05,50.5
2023-06,49.2
2023-07,51.0
2023-08,50.6
2023-09,49.5
2023-10,50.7
2023-11,50.8
2023-12,50.8
2024-01,50.9
2024-02,51.1
2024-03,51.4
2024-04,51.7
2024-05,51.8
2024-06,49.8
2024-07,50.4
2024-08,49.3
2024-09,50.3
2024-10,51.5
2024-11,50.1
2024-12,50.1
2025-01,50.8
2025-02,51.2
2025-03,50.4
2025-04,48.3
2025-05,50.4
2025-06,49.5
2025-07,50.5
2025-08,51.2
2025-09,50.6
2025-10,49.9
2025-11,50.1
2025-12,50.3
2026-01,52.1
