date,ships
2011-01,8228
2011-02,8292
2011-03,8357
2011-04,8421
2011-05,8486
2011-06,8550
2011-07,8614
2011-08,8679
2011-09,8743
2011-10,8808
2011-11,8872
2011-12,8937
2012-01,9001
2012-02,9058
2012-03,9116
2012-04,9173
2012-05,9230
2012-06,9287
2012-07,9344
2012-08,9402
2012-09,9459
2012-10,9516
2012-11,9574
2012-12,9631
2013-01,9688
2013-02,9728
2013-03,9767
2013-04,9806
2013-05,9846
2013-06,9886
2013-07,9925
2013-08,9964
2013-09,10004
2013-10,10044
2013-11,10083
2013-12,10122
2014-01,10162
2014-02,10191
2014-03,10220
2014-04,10249
2014-05,10278
2014-06,10307
2014-07,10336
2014-08,10364
2014-09,10393
2014-10,10422
2014-11,10451
2014-12,10480
2015-01,10509
2015-02,10527
2015-03,10546
2015-04,10564
2015-05,10582
2015-06,10601
2015-07,10619
2015-08,10637
2015-09,10656
2015-10,10674
2015-11,10692
2015-12,10711
2016-01,10729
2016-02,10743
2016-03,10757
2016-04,10770
2016-05,10784
2016-06,10798
2016-07,10812
2016-08,10826
2016-09,10840
2016-10,10854
2016-11,10867
2016-12,10881
2017-01,10895
2017-02,10936
2017-03,10976
2017-04,11017
2017-05,11058
2017-06,11099
2017-07,11140
2017-08,11180
2017-09,11221
2017-10,11262
2017-11,11302
2017-12,11343
2018-01,11384
2018-02,11404
2018-03,11424
2018-04,11444
2018-05,11464
2018-06,11484
2018-07,11504
2018-08,11523
2018-09,11543
2018-10,11563
2018-11,11583
2018-12,11603
2019-01,11623
2019-02,11653
2019-03,11684
2019-04,11714
2019-05,11744
2019-06,11775
2019-07,11805
2019-08,11835
2019-09,11866
2019-10,11896
2019-11,11926
2019-12,11957
2020-01,11987
2020-02,12020
2020-03,12052
2020-04,12085
2020-05,12118
2020-06,12150
2020-07,12183
2020-08,12216
2020-09,12248
2020-10,12281
2020-11,12314
2020-12,12346
2021-01,12379
2021-02,12413
2021-03,12446
2021-04,12480
2021-05,12514
2021-06,12547
2021-07,12581
2021-08,12615
2021-09,12648
2021-10,12682
2021-11,12716
2021-12,12749
2022-01,12783
2022-02,12827
2022-03,12872
2022-04,12916
2022-05,12961
2022-06,13005
2022-07,13050
2022-08,13094
2022-09,13138
2022-10,13183
2022-11,13227
2022-12,13272
2023-01,13316
2023-02,13349
2023-03,13383
2023-04,13416
2023-05,13450
2023-06,13483
2023-07,13516
2023-08,13550
2023-09,13583
2023-10,13617
2023-11,13650
2023-12,13684
2024-01,13717
2024-02,13752
2024-03,13787
2024-04,13822
2024-05,13857
2024-06,13892
2024-07,13927
2024-08,13962
2024-09,13997
2024-10,14032
2024-11,14067
2024-12,14102
2025-01,14137
