date,벙커유지수
2015-01,222.4
2015-02,270.5
2015-03,260.1
2015-04,276.3
2015-05,298.4
2015-06,286.2
2015-07,263.1
2015-08,216.4
2015-09,221.5
2015-10,225.4
2015-11,206.1
2015-12,176.8
2016-01,142.9
2016-02,149.8
2016-03,177.8
2016-04,193.5
2016-05,217.6
2016-06,224.6
2016-07,209.8
2016-08,213.4
2016-09,216.8
2016-10,230.5
2016-11,210.7
2016-12,248.2
2017-01,254.1
2017-02,256.3
2017-03,240.2
2017-04,243.5
2017-05,234.3
2017-06,215.8
2017-07,225.6
2017-08,240.6
2017-09,261.6
2017-10,267.7
2017-11,291.9
2017-12,299.7
2018-01,321.6
2018-02,303.1
2018-03,307.3
2018-04,333.5
2018-05,358.4
2018-06,353.5
2018-07,346.4
2018-08,337.6
2018-09,367.2
2018-10,377.2
2018-11,304.1
2018-12,262.8
2019-01,276.5
2019-02,297.7
2019-03,308.8
2019-04,331.4
2019-05,327.2
2019-06,293.4
2019-07,297.5
2019-08,274.8
2019-09,290.1
2019-10,276.3
2019-11,292.1
2019-12,312.1
2020-01,415.2
2020-02,350.1
2020-03,210.45
2020-04,152.4
2020-05,202.1
2020-06,252.1
2020-07,275.4
2020-08,285.3
2020-09,260.1
2020-10,255.4
2020-11,280.1
2020-12,310.25
2021-01,320.15
2021-02,350.4
2021-03,370.2
2021-04,365.1
2021-05,385.2
2021-06,410.1
2021-07,420.3
2021-08,400.1
2021-09,425.2
2021-10,480.1
2021-11,465.1
2021-12,430.2
2022-01,485.6
2022-02,540.1
2022-03,650.3
2022-04,580.1
2022-05,630.2
2022-06,680.1
2022-07,620.4
2022-08,560.1
2022-09,500.1
2022-10,520.1
2022-11,510.4
2022-12,450.2
2023-01,410.25
2023-02,410.4
2023-03,390.1
2023-04,420.1
2023-05,375.4
2023-06,372.1
2023-07,400.1
2023-08,430.4
2023-09,465.1
2023-10,452.1
2023-11,412.3
2023-12,385.4
2024-01,445.18
2024-02,460.1
2024-03,472.35
2024-04,490.12
2024-05,455.4
2024-06,452.15
2024-07,468.9
2024-08,452.1
2024-09,440.5
2024-10,465.1
2024-11,445.2
2024-12,430.25
2025-01,420.15
2025-02,415.14063175520005
2025-03,414.9208874119747
2025-04,419.5207332500736
2025-05,428.94016926949644
2025-06,443.17919547024394
2025-07,462.2378118523138
2025-08,486.116018415707
2025-09,514.8138151604289
2025-10,548.3312020864687
2025-11,586.6681791938354
2025-12,629.8247464825254
