date,석탄가격
2026-03,118.45
2026-02,106.25
2026-01,100.2
2025-12,96.9
2025-11,96.45
2025-10,92.9
2025-09,93.75
2025-08,99.3
2025-07,103.9
2025-06,107.25
2025-05,95.9
2025-04,93.65
2025-03,104.2
2025-02,99.75
2025-01,110.5
2024-12,113.95
2024-11,121.55
2024-10,120.0
2024-09,119.0
2024-08,121.7
2024-07,116.85
2024-06,109.1
2024-05,105.5
2024-04,102.9
2024-03,114.05
2024-02,104.4
2024-01,99.6
2023-12,117.6
2023-11,118.9
2023-10,123.5
2023-09,123.3
2023-08,118.75
2023-07,105.25
2023-06,115.5
2023-05,95.5
2023-04,140.0
2023-03,137.8
2023-02,145.9
2023-01,136.65
2022-12,228.35
2022-11,279.0
2022-10,219.25
2022-09,328.5
2022-08,367.0
2022-07,388.0
2022-06,370.0
2022-05,333.0
2022-04,322.85
2022-03,273.0
2022-02,254.25
2022-01,178.25
2021-12,137.55
2021-11,111.1
2021-10,232.65
2021-09,218.65
2021-08,153.75
2021-07,132.9
2021-06,120.75
2021-05,93.2
2021-04,71.9
2021-03,70.05
2021-02,66.15
2021-01,67.8
2020-12,69.0
2020-11,61.15
2020-10,56.05
2020-09,57.2
2020-08,52.9
2020-07,49.9
2020-06,49.85
2020-05,38.5
2020-04,39.85
2020-03,49.3
2020-02,47.8
2020-01,50.35
2019-12,53.0
2019-11,56.4
2019-10,56.4
2019-09,60.9
2019-08,55.0
2019-07,57.9
2019-06,48.85
2019-05,56.8
2019-04,59.05
2019-03,70.4
2019-02,75.05
2019-01,79.05
2018-12,86.7
2018-11,88.4
2018-10,97.55
2018-09,100.15
2018-08,97.9
2018-07,95.1
2018-06,96.0
2018-05,95.0
2018-04,85.2
2018-03,79.5
2018-02,81.55
2018-01,89.6
2017-12,94.8
2017-11,92.7
2017-10,94.8
2017-09,91.4
2017-08,87.65
2017-07,83.25
2017-06,79.0
2017-05,76.55
2017-04,75.5
2017-03,74.2
2017-02,77.9
2017-01,85.3
2016-12,90.2
2016-11,85.6
2016-10,84.35
2016-09,62.8
2016-08,61.3
2016-07,57.15
2016-06,55.0
2016-05,51.15
2016-04,45.75
2016-03,44.95
2016-02,44.3
2016-01,45.75
2015-12,47.45
2015-11,49.95
2015-10,52.45
2015-09,51.4
2015-08,55.8
2015-07,58.45
2015-06,60.2
2015-05,58.85
2015-04,59.8
2015-03,58.85
2015-02,61.8
2015-01,58.8
2014-12,66.75
2014-11,73.9
2014-10,72.85
2014-09,72.2
2014-08,76.95
2014-07,76.3
2014-06,73.2
2014-05,74.75
2014-04,75.05
2014-03,77.55
2014-02,77.1
2014-01,83.2
2013-12,81.55
2013-11,84.4
2013-10,83.75
2013-09,82.6
2013-08,75.6
2013-07,76.35
2013-06,74.55
2013-05,82.05
2013-04,83.95
2013-03,85.4
2013-02,90.6
2013-01,86.05
2012-12,89.95
2012-11,89.5
2012-10,85.5
2012-09,89.5
2012-08,93.9
2012-07,94.3
2012-06,86.7
2012-05,88.4
2012-04,91.15
2012-03,99.0
2012-02,97.65
2012-01,102.85
2011-12,110.2
2011-11,112.1
2011-10,118.0
2011-09,122.55
2011-08,125.8
2011-07,123.85
2011-06,122.65
2011-05,122.15
2011-04,128.45
2011-03,127.4
2011-02,120.15
2011-01,118.5
2010-12,124.35
2010-11,114.35
2010-10,98.9
2010-09,96.37
2010-08,91.25
2010-07,92.75
2010-06,94.4
2010-05,89.7
2010-04,83.7
2010-03,75.4
2010-02,75.6
2010-01,85.7
2009-12,83.6
2009-11,77.35
2009-10,74.15
2009-09,70.9
2009-08,70.4
2009-07,67.7
2009-06,62.85
2009-05,62.75
2009-04,60.55
2009-03,63.9
2009-02,69.0
2009-01,76.75
2008-12,82.3
2008-11,87.9
2008-10,105.0
2008-09,148.0
2008-08,192.5
2008-07,193.75
2008-06,218.0
2008-05,158.0
2008-04,142.0
2008-03,129.0
2008-02,143.1
2008-01,139.5
2007-12,127.5
2007-11,128.0
2007-10,126.0
2007-09,95.6
2007-08,86.55
2007-07,81.4
2007-06,78.3
2007-05,73.65
2007-04,71.5
2007-03,72.0
2007-02,69.25
2007-01,67.5
2006-12,68.0
2006-11,68.75
2006-10,67.75
2006-09,65.5
2006-08,68.45
