date,CCFI
2014-06,1099.3925
2014-07,1093.202
2014-08,1110.6975
2014-09,1107.105
2014-10,1041.342
2014-11,1046.6225
2014-12,1032.005
2015-01,1061.336
2015-02,1074.8175
2015-03,1044.2125
2015-04,948.2479999999999
2015-05,886.3875
2015-06,837.64
2015-07,819.176
2015-08,824.045
2015-09,820.5074999999999
2015-10,771.662
2015-11,757.7225
2015-12,719.55
2016-01,767.4275
2016-02,762.1066666666666
2016-03,692.64
2016-04,641.504
2016-05,655.62
2016-06,656.3375
2016-07,675.546
2016-08,705.4025
2016-09,717.3340000000001
2016-10,731.9633333333333
2016-11,767.1025
2016-12,780.6659999999999
2017-01,846.9025
2017-02,853.1324999999999
2017-03,785.744
2017-04,804.2375
2017-05,837.7225
2017-06,846.016
2017-07,865.7950000000001
2017-08,855.63
2017-09,822.568
2017-10,773.4866666666667
2017-11,785.8575000000001
2017-12,766.946
2018-01,799.3125
2018-02,839.625
2018-03,808.904
2018-04,750.0625
2018-05,770.5550000000001
2018-06,805.6659999999999
2018-07,820.925
2018-08,832.952
2018-09,854.6475
2018-10,830.4900000000001
2018-11,856.5780000000001
2018-12,846.865
2019-01,862.0999999999999
2019-02,886.3100000000001
2019-03,822.778
2019-04,800.12
2019-05,799.4075
2019-06,811.205
2019-07,817.315
2019-08,827.5319999999999
2019-09,818.4375
2019-10,779.1433333333333
2019-11,820.0899999999999
2019-12,848.125
2020-01,938.7125
2020-02,920.6999999999999
2020-03,898.6500000000001
2020-04,877.594
2020-05,836.2625
2020-06,841.2
2020-07,863.418
2020-08,884.02
2020-09,977.476
2020-10,1058.1625
2020-11,1140.5925
2020-12,1492.062
2021-01,1906.1275
2021-02,2063.25
2021-03,1913.6025
2021-04,1895.596
2021-05,2180.4275
2021-06,2483.6
2021-07,2781.548
2021-08,3027.9125
2021-09,3173.57
2021-10,3291.255
2021-11,3240.7174999999997
2021-12,3265.406
2022-01,3510.825
2022-02,3504.56
2022-03,3332.65
2022-04,3131.532
2022-05,3117.935
2022-06,3228.3725
2022-07,3239.686
2022-08,3033.6
2022-09,2593.35
2022-10,1949.49
2022-11,1683.875
2022-12,1358.6299999999999
2023-01,1206.01
2023-02,1103.725
2023-03,1001.266
2023-04,948.4775
2023-05,952.1075
2023-06,918.8860000000001
2023-07,869.8925
2023-08,880.7875
2023-09,876.458
2023-10,816.2233333333334
2023-11,855.115
2023-12,874.8799999999999
2024-01,1191.9075
2024-02,1440.74
2024-03,1279.212
2024-04,1189.1675
2024-05,1358.7075
2024-06,1769.43
2024-07,2107.6575000000003
2024-08,2067.788
2024-09,1777.845
2024-10,1416.2
2024-11,1427.328
2024-12,1489.395
2025-01,1542.6825
2025-02,1342.8875
2025-03,1165.5775
2025-04,1112.882
2025-05,1109.0675
2025-06,1277.4575
2025-07,1305.395
2025-08,1191.5099999999998
2025-09,1120.52
2025-10,1000.505
2025-11,1099.1975
2025-12,1126.0900000000001
2026-01,1197.27
2026-02,1084.9533333333334
2026-03,1082.3433333333332
