date,SCFI
2014-06,1066.3375
2014-07,1113.148
2014-08,1119.0275000000001
2014-09,1034.0049999999999
2014-10,977.774
2014-11,1018.875
2014-12,1062.8775
2015-01,1051.184
2015-02,1071.73
2015-03,868.47
2015-04,748.392
2015-05,731.3475
2015-06,600.52
2015-07,675.1659999999999
2015-08,715.035
2015-09,646.6925
2015-10,594.26
2015-11,551.3
2015-12,566.8340000000001
2016-01,658.3525
2016-02,507.0533333333333
2016-03,414.135
2016-04,507.01599999999996
2016-05,561.755
2016-06,554.6075000000001
2016-07,694.8860000000001
2016-08,627.23
2016-09,755.9219999999999
2016-10,819.0133333333333
2016-11,820.4225
2016-12,838.53
2017-01,971.1375
2017-02,869.975
2017-03,775.174
2017-04,834.06
2017-05,860.9224999999999
2017-06,869.7639999999999
2017-07,878.54
2017-08,864.2049999999999
2017-09,760.54
2017-10,759.7066666666666
2017-11,760.08
2017-12,742.046
2018-01,838.815
2018-02,869.175
2018-03,696.534
2018-04,687.29
2018-05,768.47
2018-06,797.028
2018-07,825.08
2018-08,903.4739999999999
2018-09,897.9725000000001
2018-10,929.13
2018-11,936.856
2018-12,863.7149999999999
2019-01,948.6125000000001
2019-02,890.16
2019-03,766.8199999999999
2019-04,778.6125
2019-05,747.29
2019-06,789.0825
2019-07,802.005
2019-08,810.2239999999999
2019-09,754.4575
2019-10,745.6233333333333
2019-11,813.596
2019-12,898.5275
2020-01,999.2925
2020-02,891.3533333333334
2020-03,892.7149999999999
2020-04,851.582
2020-05,869.29
2020-06,982.745
2020-07,1049.964
2020-08,1180.565
2020-09,1390.1399999999999
2020-10,1471.5275
2020-11,1877.12
2020-12,2455.538
2021-01,2871.495
2021-02,2840.395
2021-03,2628.505
2021-04,2830.292
2021-05,3341.69
2021-06,3712.69
2021-07,4037.63
2021-08,4308.2975
2021-09,4590.242
2021-10,4596.585
2021-11,4561.785
2021-12,4887.068
2022-01,5066.86
2022-02,4915.136666666666
2022-03,4586.605
2022-04,4242.86
2022-05,4162.4025
2022-06,4219.8525
2022-07,4061.292
2022-08,3471.62
2022-09,2343.4759999999997
2022-10,1763.4466666666667
2022-11,1389.81
2022-12,1129.4759999999999
2023-01,1040.7700000000002
2023-02,980.8475
2023-03,915.896
2023-04,1006.845
2023-05,984.4025
2023-06,964.15
2023-07,976.63
2023-08,1031.9099999999999
2023-09,956.0319999999999
2023-10,940.6033333333334
2023-11,1022.8125
2023-12,1230.22
2024-01,2130.3450000000003
2024-02,2164.65
2024-03,1820.266
2024-04,1803.16
2024-05,2643.6875
2024-06,3438.5025
2024-07,3599.7425000000003
2024-08,3185.786
2024-09,2434.7124999999996
2024-10,2103.35
2024-11,2256.166
2024-12,2372.8425
2025-01,2242.985
2025-02,1691.46
2025-03,1351.3175
2025-04,1369.3619999999999
2025-05,1620.8475
2025-06,2014.9225
2025-07,1684.0675
2025-08,1472.206
2025-09,1288.82
2025-10,1356.225
2025-11,1435.7925
2025-12,1528.3325
2026-01,1499.03
2026-02,1283.71
2026-03,1635.4966666666667
